tanggal,sumber (url),judul berita,konten,politik,hukum,nasional,jumlah label
2025-03-30,https://news.detik.com/berita/d-7848123/korlantas-siapkan-one-way-lokal-nasional-hadapi-arus-balik-lebaran,Korlantas Siapkan One Way Lokal-Nasional Hadapi Arus Balik Lebaran,Korlantas Polri menyiapkan rekayasa lalu lintas pada arus balik Lebaran nanti,0,0,0,0
2024-10-04,https://news.detik.com/berita/d-7571234/bos-ppi-nilai-interaksi-hangat-puan-ahy-tanda-tensi-politik-mulai-mencair,Bos PPI Nilai Interaksi Hangat Puan-AHY Tanda Tensi Politik Mulai Mencair,Interaksi hangat antara Ketua DPR Puan Maharani dan Menteri ATR/BPN Agus Harimurti Yudhoyono (AHY) di tengah sidang paripurna pimpinan MPR menjadi sorotan,1,0,0,2
2025-07-21,https://news.detik.com/berita/d-8022384/ada-promo-khusus-hari-anak-nasional-2025-di-tmii-cek-infonya,"Ada Promo Khusus Hari Anak Nasional 2025 di TMII, Cek Infonya!","Dalam rangka memperingati Hari Anak Nasional 2025, Taman Mini Indonesia Indah (TMII) melalui unit Jagat Satwa Nusantara menghadirkan promo tiket khusus untuk masyarakat",0,0,1,1
2025-05-27,https://news.detik.com/foto-news/d-7934604/potret-ringsek-bmw-penabrak-mahasiswa-ugm-hingga-tewas,Potret Ringsek BMW Penabrak Mahasiswa UGM hingga Tewas,Jakarta - Kecelakaan maut melibatkan sedan BMW dengan sepeda motor Vario terjadi di Sleman,0,0,0,0
2024-10-17,https://news.detik.com/berita/d-7593385/ahmad-doli-raih-detikcom-awards-tokoh-transformasi-politik-dan-demokrasi,Ahmad Doli Raih detikcom Awards 'Tokoh Transformasi Politik dan Demokrasi',"Ketua Komisi II DPR RI, Ahmad Doli Kurnia meraih detikcom Awards 2024 pada kategori Tokoh Transformasi Politik dan Demokrasi",1,0,0,2
2025-03-16,https://news.detik.com/internasional/d-7825544/columbia-university-dikritik-gegara-ikuti-trump-hukum-aktivis-pro-palestina,Columbia University Dikritik gegara Ikuti Trump Hukum Aktivis Pro-Palestina,"Columbia University, yang merupakan salah satu kampung elite di Amerika Serikat (AS), menghukum para mahasiswa dan alumninya yang terlibat demonstrasi pro-Palestina",0,0,0,0
2025-05-05,https://news.detik.com/berita/d-7900877/ketua-baleg-targetkan-ruu-pprt-rampung-tahun-ini-beri-kepastian-hukum,Ketua Baleg Targetkan RUU PPRT Rampung Tahun ini: Beri Kepastian Hukum,Ketua Baleg DPR RI Bob Hasan mengatakan pembahasan Rancangan Undang-Undang perlindungan Pekerja Rumah Tangga (PPRT) ditargetkan rampung di tahun ini,1,0,0,2
2025-04-24,https://news.detik.com/berita/d-7883616/tanggal-penting-mei-2025-hari-besar-libur-nasional-dan-cuti-bersama,"Tanggal Penting Mei 2025: Hari Besar, Libur Nasional dan Cuti Bersama",Bulan Mei 2025 memiliki beberapa tanggal penting yang berhubungan dengan peringatan nasional dan internasional,0,0,1,1
2024-09-01,https://news.detik.com/berita/d-7519023/bamsoet-apresiasi-16-tahun-perjalanan-politik-partai-gerindra,Bamsoet Apresiasi 16 Tahun Perjalanan Politik Partai Gerindra,Ketua MPR RI Bambang Soesatyo (Bamsoet) mengapresiasi perjalanan panjang Prabowo Subianto dan Partai Gerindra dalam kancah perpolitikan di Tanah Air,1,0,0,2
2025-02-28,https://news.detik.com/berita/d-7799816/doli-golkar-desak-perbaikan-sistem-politik-terpikir-opsi-amandemen-uud,"Doli Golkar Desak Perbaikan Sistem Politik, Terpikir Opsi Amandemen UUD","Anggota Komisi II DPR RI yang juga Wakil Ketua Umum Partai Golkar, Ahmad Doli Kurnia, menjelaskan urgensi perubahan perbaikan sistem politik Indonesia",1,0,1,3
2025-05-15,https://news.detik.com/foto-news/d-7915797/aksi-penolakan-rencana-gelar-pahlawan-untuk-soeharto,Aksi Penolakan Rencana Gelar Pahlawan untuk Soeharto,Jakarta - Koalisi Gerakan Masyarakat Sipil Adili Soeharto (GEMAS) menggelar aksi unjuk rasa tolak rencana pemberian gelar untuk Suharto di depan kantor Kementerian Sosial,1,0,0,2
2025-03-16,https://news.detik.com/berita/d-7825604/respons-pdip-relawan-desak-jokowi-ambil-langkah-hukum-ke-pemfitnah,"Respons PDIP, Relawan Desak Jokowi Ambil Langkah Hukum ke Pemfitnah","Organisasi Barisan Relawan Jokowi Presiden (Bara JP) menanggapi pernyataan PDI Perjuangan yang tak percaya jika Presiden RI ke-7, Joko Widodo (Jokowi), kerap diam meski dicela",1,0,0,2
2024-07-24,https://news.detik.com/foto-news/d-7455162/pkb-usul-pelaksanaan-pilpres-dan-pileg-2029-dipisah,PKB Usul Pelaksanaan Pilpres dan Pileg 2029 Dipisah,Jakarta - Hasil Musyawarah Kerja Nasional (Mukernas) PKB mendorong revisi UU Partai Politik dan UU Pemilu,1,0,1,3
2024-10-28,https://news.detik.com/berita/d-7611163/pkb-indonesia-sebagai-mitra-brics-adalah-bukti-politik-bebas-aktif,PKB: Indonesia Sebagai Mitra BRICS adalah Bukti Politik Bebas Aktif,"PKB mendukung keputusan pemerintah Indonesia menjadi mitra forum BRICS (Brazil, Russia, India, China, South Africa)",0,1,1,5
2025-07-30,https://news.detik.com/berita/d-8036480/kata-puan-soal-kabar-kongres-pdip-usai-bimtek-di-bali,Kata Puan soal Kabar Kongres PDIP Usai Bimtek di Bali,PDIP dikabarkan akan menggelar Kongres 2025 setelah bimbingan teknis (bimtek) DPR dan DPRD provinsi/kabupaten/kota Fraksi PDIP di Bali,1,0,0,2
2024-12-14,https://news.detik.com/berita/d-7686922/rano-karno-hadir-hut-perindo-angela-politik-dan-persahabatan-jalan-bareng,"Rano Karno Hadir HUT Perindo, Angela: Politik dan Persahabatan Jalan Bareng","Cawagub Jakarta, Rano Karno, hadir dalam acara puncak HUT ke-10 Partai Perindo",1,0,0,2
2025-07-29,https://news.detik.com/bbc-world/d-8034230/warga-jepang-resah-soal-ekonomi-partai-sayap-kanan-kian-populer,"Warga Jepang Resah Soal Ekonomi, Partai Sayap Kanan Kian Populer",Perpolitikan Jepang biasanya berjalan stabil dan bisa disebut membosankan,1,0,0,2
2024-09-19,https://news.detik.com/berita/d-7548725/doli-kurnia-ingin-perbaiki-sistem-politik-tata-negara-sampai-pemerintahan,"Doli Kurnia Ingin Perbaiki Sistem Politik, Tata Negara sampai Pemerintahan",Ahmad Doli Kurnia Tandjung merupakan anggota DPR RI yang sejak terpilih langsung memilih menjadi anggota Komisi II DPR,1,0,0,2
2025-07-28,https://news.detik.com/berita/d-8032106/ribka-klaim-ada-upaya-bikin-suara-pdip-7-di-2029-ini-kata-pan,"Ribka Klaim Ada Upaya Bikin Suara PDIP 7% di 2029, Ini Kata PAN",PAN merespons pernyataan Ketua DPP PDIP Ribka Tjiptaning yang menyebut adanya upaya untuk menggemboskan suara PDIP menjadi 7 persen di 2029 nanti,0,0,0,0
2025-04-06,https://news.detik.com/berita/d-7856311/kapolri-jelaskan-penerapan-one-way-nasional-di-tol-kalikangkung-cikampek,Kapolri Jelaskan Penerapan One Way Nasional di Tol Kalikangkung-Cikampek,Kapolri Jenderal Listyo Sigit Prabowo memimpin langsung flag off atau pelepasan one way nasional dari Km 414 Gerbang Tol Kalikangkung sampai Km 70 Gerbang tol Cikampek Utama,0,0,1,1
2025-07-17,https://news.detik.com/berita/d-8015603/mahasiswa-bunuh-mahasiswa-di-aceh-lolos-dari-vonis-mati,Mahasiswa Bunuh Mahasiswa di Aceh Lolos dari Vonis Mati,"Majelis hakim Pengadilan Negeri Banda Aceh menjatuhkan vonis 20 tahun penjara terhadap Zulfurqan (20), yang merupakan terdakwa pembunuhan seorang mahasiswa",0,1,0,4
2025-07-17,https://news.detik.com/foto-news/d-8016006/taiwan-gelar-simulasi-serangan-udara-jalanan-hsinchu-kosong,"Taiwan Gelar Simulasi Serangan Udara, Jalanan Hsinchu Kosong",Hsinchu - Hsinchu di Taiwan mendadak hening saat latihan serangan udara tahunan digelar pada Rabu (17/7),0,0,0,0
2025-03-23,https://news.detik.com/internasional/d-7837580/serangan-israel-tewaskan-pimpinan-politik-hamas-di-gaza-selatan,Serangan Israel Tewaskan Pimpinan Politik Hamas di Gaza Selatan,Serangan udara Israel di Gaza selatan menewaskan pemimpin politik Hamas Salah al-Bardaweel,1,0,0,2
2024-10-23,https://news.detik.com/berita/d-7602805/prabowo-kita-punya-kepentingan-politik-tapi-sepakati-kepentingan-nasional,Prabowo: Kita Punya Kepentingan Politik tapi Sepakati Kepentingan Nasional,"Presiden Prabowo Subianto memimpin rapat kabinet paripurna perdana di Istana Negara, Jakarta",1,0,1,3
2024-12-24,https://news.detik.com/berita/d-7701714/tudingan-politisasi-hukum-kpk-usai-hasto-jadi-tersangka,Tudingan Politisasi Hukum KPK Usai Hasto Jadi Tersangka,"""Kami melihat bahwa politisasi hukum itu kuat sekali, buktinya yang tersangka di kasus CSR BI saja sebanyak 2 orang bisa diralat",0,1,0,4
2025-05-01,https://news.detik.com/dw/d-7895103/polemik-politik-korsel-capres-dihantam-kasus-penjabat-presiden-mundur,"Polemik Politik Korsel, Capres Dihantam Kasus-Penjabat Presiden Mundur","Putusan Mahkamah Agung pada Kamis (1/5) yang membatalkan vonis bebas terhadap Lee Jae-myung, kandidat presiden Korea Selatan terkuat saat ini",1,1,0,6
2024-11-27,https://news.detik.com/berita/d-7660199/pertumbuhan-ekonomi-makassar-lampaui-sulsel-dan-nasional,Pertumbuhan Ekonomi Makassar Lampaui Sulsel dan Nasional,Makassar terus membuktikan diri sebagai lokomotif perekonomian di Sulawesi Selatan,0,0,0,0
2025-02-26,https://news.detik.com/berita/d-7797298/waka-mpr-sebut-2-hal-ini-dibutuhkan-dorong-perempuan-aktif-di-politik,Waka MPR Sebut 2 Hal Ini Dibutuhkan Dorong Perempuan Aktif di Politik,Wakil Ketua MPR RI Lestari Moerdijat (Rerie) menegaskan langkah afirmasi dan edukasi dibutuhkan untuk mewujudkan peningkatan keterlibatan perempuan dalam dunia politik,1,0,0,2
2024-10-07,https://news.detik.com/kolom/d-7576125/retno-marsudi-dan-masa-depan-politik-luar-negeri-kita,Retno Marsudi dan Masa Depan Politik Luar Negeri Kita,"Kamis, 12 September 2024, Menteri Luar Negeri Retno Marsudi menyampaikan pidato perpisahannya di hadapan Komisi I DPR yang menandai akhir dari masa baktinya yang hampir satu dekade",1,0,0,2
2025-04-16,https://news.detik.com/berita/d-7872300/pimpinan-dpr-pastikan-revisi-uu-politik-pemilu-tak-dibahas-di-baleg,Pimpinan DPR Pastikan Revisi UU Politik-Pemilu Tak Dibahas di Baleg,Wakil Ketua DPR RI Adies Kadir memastikan pembahasan revisi UU Politik dan UU Pemilu akan dilakukan oleh Komisi II DPR,1,0,0,2
2024-10-30,https://news.detik.com/berita/d-7613022/temuan-duit-hampir-rp-1-t-zarof-ricar-dinilai-tanda-krisis-sistem-hukum,Temuan Duit Hampir Rp 1 T Zarof Ricar Dinilai Tanda Krisis Sistem Hukum,Masyarakat dihebohkan dengan penemuan uang Rp 920 miliar dan 51 kilogram emas di kediaman Mantan Kepala Balitbang Diklat Kumdil Mahkamah Agung (MA) Zarof Ricar,0,1,0,4
2025-06-15,https://news.detik.com/berita/d-7965454/wamen-atr-bpn-pembangunan-infrastruktur-perlu-tanah-dan-kepastian-hukum,Wamen ATR/BPN: Pembangunan Infrastruktur Perlu Tanah dan Kepastian Hukum,"Wakil Menteri ATR/BPN, Ossy Dermawan menegaskan keberhasilan pembangunan infrastruktur sangat bergantung pada kebijakan tata ruang yang terintegrasi dan berkelanjutan",1,1,0,6
2024-08-20,https://news.detik.com/berita/d-7499983/yasonna-bicara-kemiripan-dengan-menkumham-supratman-dosen-masuk-politik,Yasonna Bicara Kemiripan dengan Menkumham Supratman: Dosen Masuk Politik,Supratman Andi Agtas resmi menggantikan Yasonna Laoly sebagai Menteri Hukum dan HAM (Menkumham),1,0,0,2
2025-05-22,https://news.detik.com/berita/d-7927783/korupsi-proyek-pusat-data-nasional-sementara-jaksa-sita-duit-miliaran-mobil,"Korupsi Proyek Pusat Data Nasional Sementara, Jaksa Sita Duit Miliaran-Mobil",Kejaksaan Negeri (Kejari) Jakarta Pusat menggeledah beberapa lokasi terkait kasus dugaan korupsi proyek Pusat Data Nasional Sementara (PDNS),0,1,1,5
2024-08-25,https://news.detik.com/berita/d-7508038/pkb-sebut-maruf-amin-bakal-terlibat-tentukan-sikap-politik,PKB Sebut Ma'ruf Amin Bakal Terlibat Tentukan Sikap Politik,Ketua DPP Partai Kebangkitan Bangsa (PKB) Daniel Johan mengatakan Wapres Ma'ruf Amin akan terlibat dalam penentuan sikap politik partai,1,0,0,2
2025-02-13,https://news.detik.com/berita/d-7775905/menerka-sosok-yang-ingin-pisahkan-prabowo-dengan-jokowi,Menerka Sosok yang Ingin Pisahkan Prabowo dengan Jokowi,Presiden Prabowo Subianto tiba-tiba menyatakan ada pihak yang ingin memisahkan dirinya dengan Presiden ke-7 RI Joko Widodo (Jokowi),1,0,0,2
2024-09-23,https://news.detik.com/pilkada/d-7554708/rk-minta-pendukung-tertib-tolak-money-politik-tak-jelekkan-paslon-lain,RK Minta Pendukung Tertib: Tolak Money Politik-Tak Jelekkan Paslon Lain,Pasangan cagub-cawagub Jakarta nomor urut 1 Ridwan Kamil-Suswono (RIDO) meminta pendukungnya untuk tertib menjalankan pilkada secara damai,0,0,0,0
2025-02-12,https://news.detik.com/berita/d-7775005/kpk-efisiensi-anggaran-tak-pengaruhi-strategi-nasional-pencegahan-korupsi,KPK: Efisiensi Anggaran Tak Pengaruhi Strategi Nasional Pencegahan Korupsi,KPK memastikan efisiensi anggaran tidak akan mengganggu program dari tim Strategi Nasional Pencegahan Korupsi (Stranas-PK),0,1,1,5
2025-05-27,https://news.detik.com/berita/d-7934543/27-mei-hari-jamu-nasional-sejarah-dan-cara-merayakannya,27 Mei Hari Jamu Nasional: Sejarah dan Cara Merayakannya,"Setiap tanggal 27 Mei, Indonesia memperingati Hari Jamu Nasional",0,0,1,1
2025-05-16,https://news.detik.com/berita/d-7917611/tema-dan-logo-hari-kearsipan-nasional-2025-yang-diperingati-18-mei,Tema dan Logo Hari Kearsipan Nasional 2025 yang Diperingati 18 Mei,Hari Kearsipan Nasional diperingati setiap 18 Mei sebagai momentum untuk meningkatkan kesadaran akan pentingnya pengelolaan arsip negara,0,0,1,1
2024-07-05,https://news.detik.com/foto-news/d-7425237/saepul-uyun-sujati-terima-penghargaan-jaksa-inovatif-adhyaksa-awards-2024,Saepul Uyun Sujati Terima Penghargaan Jaksa Inovatif Adhyaksa Awards 2024,Jakarta - Saepul Uyun Sujati yang menjabat sebagai Kepala Seksi PB3R di Kejaksaan Negeri Kutai Barat menerima penghargaan kategori Jaksa Inovatif dalam Penegakan Hukum,0,1,0,4
2024-08-22,https://news.detik.com/kolom/d-7502902/pilu-hukum-dan-demokrasi,Pilu Hukum dan Demokrasi,"Revisi kilat UU 10/2016 tentang Pilkada (UU Pilkada) menjadi tontonan yang memenuhi layar kaca pada Rabu, 21 Agustus 2024",0,0,0,0
2025-04-24,https://news.detik.com/foto-news/d-7884466/dpr-gelar-diskusi-dialektika-demokrasi,DPR Gelar Diskusi Dialektika Demokrasi,Jakarta - DPR menggelar diskusi dialektika demokrasi,1,0,0,2
2025-02-20,https://news.detik.com/berita/d-7787271/pameran-kampung-hukum-disebut-strategis-untuk-perkenalkan-produk-mpr,Pameran Kampung Hukum Disebut Strategis untuk Perkenalkan Produk MPR,"Setelah berlangsung selama dua hari, Pameran Kampung Hukum 2025 yang digelar oleh Mahkamah Agung (MA) RI resmi ditutup",0,1,0,4
2025-05-07,https://news.detik.com/berita/d-7903936/jaksa-agung-bantu-menkop-beri-pendampingan-hukum-kopdes-merah-putih,Jaksa Agung Bantu Menkop Beri Pendampingan Hukum Kopdes Merah Putih,Menteri Koperasi (Menkop) Budi Arie Setiadi menyambangi Jaksa Agung ST Burhanuddin di kantornya,1,1,0,6
2025-07-24,https://news.detik.com/berita/d-8027528/peringati-hari-anak-nasional-pemkot-surabaya-gelar-pertemuan-pagi-ceria,"Peringati Hari Anak Nasional, Pemkot Surabaya Gelar 'Pertemuan Pagi Ceria'","Dalam rangka memperingati Hari Anak Nasional (HAN) Tahun 2025, Pemerintah Kota (Pemkot) Surabaya menggelar kegiatan bertajuk 'Pertemuan Pagi Ceria' yang melibatkan satuan pendidikan jenjang PAUD,TK dan SD se-Kota Pahlawan",0,0,1,1
2024-07-05,https://news.detik.com/pemilu/d-7424013/megawati-politik-sekarang-pragmatis-melupakan-suara-hati-demi-kekuasaan,"Megawati: Politik Sekarang Pragmatis, Melupakan Suara Hati Demi Kekuasaan",Ketua Umum PDIP Megawati Soekarnoputri menyinggung stanza-stanza di lagu Indonesia Raya saat pidato di Sekolah Partai PDIP,1,0,1,3
2024-08-21,https://news.detik.com/kolom/d-7500519/tidak-ada-menang-kalah-dalam-politik-kebangsaan,Tidak Ada Menang Kalah dalam Politik Kebangsaan,"Alkisah pertandingan Liga Indonesia, Persiraja Banda Aceh dikalahkan PSMS Medan 3-2 ketika bertanding di Medan",0,0,1,1
2025-07-30,https://news.detik.com/berita/d-8036612/prabowo-melayat-ke-rumah-duka-kwik-kian-gie-di-sentosa-rspad,Prabowo Melayat ke Rumah Duka Kwik Kian Gie di Sentosa RSPAD,"Presiden Prabowo Subianto melayat ke rumah duka ekonom senior Kwik Kian Gie di Rumah Duka Sentosa RSPAD, Jakarta Pusat",1,0,0,2
2025-05-21,https://news.detik.com/foto-news/d-7925157/partai-gerindra-terima-dana-partai-politik-dari-pemerintah,Partai Gerindra Terima Dana Partai Politik dari Pemerintah,Jakarta - Partai Gerindra menerima dana partai politik dari pemerintah yang disalurkan Kementerian Dalam Negeri,1,0,1,3
2025-04-21,https://news.detik.com/berita/d-7879023/istana-tak-masalah-soeharto-diusulkan-jadi-pahlawan-nasional,Istana Tak Masalah Soeharto Diusulkan Jadi Pahlawan Nasional,Mensesneg Prasetyo Hadi menilai tak ada masalah terkait nama Presiden RI ke-2 Soeharto diusulkan menjadi pahlawan nasional,1,0,1,3
2025-07-20,https://news.detik.com/berita/d-8020002/alasan-hakim-tetap-hukum-tom-lembong-meski-tak-nikmati-hasil-korupsi,Alasan Hakim Tetap Hukum Tom Lembong Meski Tak Nikmati Hasil Korupsi,"Mantan Menteri Perdagangan Thomas Trikasih Lembong atau Tom Lembong divonis 4,5 tahun penjara meski hakim menyatakan Tom tidak menikmati hasil korupsi",1,1,0,6
2025-07-21,https://news.detik.com/berita/d-8022651/ahy-dorong-reformasi-aturan-dana-kampanye-singgung-politik-uang,"AHY Dorong Reformasi Aturan Dana Kampanye, Singgung Politik Uang",Ketua Umum DPP Partai Demokrat Agus Harimurti Yudhoyono (AHY) mendorong reformasi aturan dana kampanye,1,0,0,2
2025-05-29,https://news.detik.com/berita/d-7939562/peringati-hari-lansia-nasional-kemensos-gelar-kegiatan-sosial-di-subang,"Peringati Hari Lansia Nasional, Kemensos Gelar Kegiatan Sosial di Subang","Kementerian Sosial (Kemensos) memperingati Hari Lanjut Usia Nasional (HLUN) di Kabupaten Subang, Jawa Barat, Kamis (29/5/2025), dengan serangkaian kegiatan sosial yang menyentuh langsung kebutuhan para lansia",1,0,1,3
2025-05-28,https://news.detik.com/dw/d-7937290/majelis-nasional-prancis-sahkan-ruu-bantuan-mengakhiri-hidup,Majelis Nasional Prancis Sahkan RUU Bantuan Mengakhiri Hidup,"Setelah lama diperdebatkan, RUU bantuan untuk mengakhiri hidup akhirnya disetujui dalam pembacaan pertama di Majelis Nasional Prancis",0,0,1,1
2025-04-17,https://news.detik.com/foto-news/d-7873176/begini-eksekusi-hukum-cambuk-untuk-pelanggar-syariat-islam-di-aceh,Begini Eksekusi Hukum Cambuk untuk Pelanggar Syariat Islam di Aceh,Aceh - Mahkamah Syar'yiah menjatuhkan hukuman kepada 10 warga yang terbukti bersalah melakukan pelanggaran hukum Jinayat Qanun Syariat,0,1,0,4
2025-07-25,https://news.detik.com/berita/d-8028839/sekjen-pdip-hasto-peluk-cium-istri-lalu-salam-metal-jelang-sidang-vonis,Sekjen PDIP Hasto Peluk-Cium Istri lalu Salam Metal Jelang Sidang Vonis,Sekjen PDIP Hasto Kristiyanto menghadapi sidang vonis kasus dugaan suap PAW anggota DPR untuk Harun Masiku dan perintangan penyidikan hari ini,1,1,0,6
2024-11-19,https://news.detik.com/berita/d-7646974/bawaslu-ingatkan-tim-kampanye-masyarakat-tak-lakukan-politik-uang,Bawaslu Ingatkan Tim Kampanye-Masyarakat Tak Lakukan Politik Uang,Ketua Bawaslu RI Rahmat Bagja mengakui bahwa politik uang masih jadi salah satu kerawanan tertinggi pada masa Pilkada,1,0,0,2
2025-07-25,https://news.detik.com/berita/d-8029097/2-wanita-tipu-tipu-jual-kontrakan-murah-di-bekasi-ditangkap,2 Wanita Tipu-tipu Jual Kontrakan Murah di Bekasi Ditangkap!,"Polisi menangkap dua orang wanita yang terlibat dalam kasus tipu-tipu penjualan kontrakan fiktif di Jatisampuma, Kota Bekasi, Jawa Barat (Jabar)",0,0,0,0
2025-05-17,https://news.detik.com/kolom/d-7918311/hari-buku-nasional-literasi-dan-pilkada,"Hari Buku Nasional, Literasi dan Pilkada","Setiap tanggal 17 Mei, Indonesia memperingati Hari Buku Nasional",0,0,1,1
2024-12-17,https://news.detik.com/dw/d-7691286/ketidakpastian-politik-bayangi-pemakzulan-presiden-korsel,Ketidakpastian Politik Bayangi Pemakzulan Presiden Korsel,"Majelis Nasional pada hari Sabtu (14/12) meloloskan mosi pemakzulan Presiden Yoon Suk Yeol, 11 hari setelah dia mengumumkan darurat militer yang dibatalkan cuma beberapa jam kemudian",1,0,1,3
2025-07-30,https://news.detik.com/berita/d-8035902/analisis-bos-ppi-jika-jokowi-jadi-dewan-pembina-psi,Analisis Bos PPI Jika Jokowi Jadi Dewan Pembina PSI,Sosok berinisial J disebut akan menjadi Dewan Pembina PSI,0,0,0,0
2025-07-28,https://news.detik.com/berita/d-8032421/kasus-vonis-bebas-ronald-tannur-eks-ketua-pn-surabaya-dituntut-7-tahun-bui,"Kasus Vonis Bebas Ronald Tannur, Eks Ketua PN Surabaya Dituntut 7 Tahun Bui",Mantan Ketua Pengadilan Negeri Surabaya (PN Surabaya) Rudi Suparmono dituntut hukuman penjara,0,1,0,4
2024-12-06,https://news.detik.com/pilkada/d-7673973/bawaslu-lebak-setop-usut-laporan-dugaan-politik-uang-relawan-cagub,Bawaslu Lebak Setop Usut Laporan Dugaan Politik Uang Relawan Cagub,"Sentra Penegakan Hukum Terpadu (Gakkumdu) Bawaslu Lebak menghentikan pengusutan laporan dugaan politik uang yang terjadi di Kecamatan Curugbitung, Lebak, Banten",1,0,0,2
2025-05-05,https://news.detik.com/berita/d-7900595/prabowo-6-bulan-kita-hasilkan-28-kebijakan-baru-dan-hampir-200-produk-hukum,Prabowo: 6 Bulan Kita Hasilkan 28 Kebijakan Baru dan Hampir 200 Produk Hukum,Presiden Prabowo Subianto memimpin sidang kabinet paripurna sekaligus mengevaluasi 6 bulan pertama pemerintahan berjalan,1,0,1,3
2025-06-23,https://news.detik.com/berita/d-7978900/dim-ruu-kuhap-diteken-kapolri-supremasi-hukum-jadi-harapan-rakyat,"DIM RUU KUHAP Diteken, Kapolri: Supremasi Hukum Jadi Harapan Rakyat",Kapolri Jenderal Listyo Sigit Prabowo memberikan selamat karena daftar inventarisasi masalah (DIM) RUU KUHAP sudah diselesaikan oleh pemerintah,0,0,1,1
2025-07-25,https://news.detik.com/berita/d-8029278/hakim-harun-masiku-dpo-tak-halangi-pembuktian-hasto-terlibat-kasus-suap,Hakim: Harun Masiku DPO Tak Halangi Pembuktian Hasto Terlibat Kasus Suap,Majelis hakim mengatakan status Harun Masiku sebagai daftar pencarian orang (DPO) tidak menghalangi pengungkapan keterlibatan Sekjen PDIP Hasto Kristiyanto dalam kasus suap,0,1,0,4
